edge,role,state,status,tar,job_id,job_name,comment,success,scf,stage,energy_Eh
R05E001,M,ANI,success,archive3595(1).tar,3700,R05E001_M_ANI,P05 StateFlux Round05 V4 | edge=R05E001 | LTKBID=LT00587 | compound=Minoxidil | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=Nc1cc(NCCCCC=O)nc(N)[n+]1[O-],True,8,0,-776.01464237
R05E008,P,N,success,archive3595(1).tar,3610,8p,P05 StateFlux Round05 V4 | edge=R05E008 | LTKBID=LT01680 | compound=Pirprofen | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,True,8,0,-1168.96948215
R05E009,M,ANI,success,archive3595(1).tar,3716,R05E009_M_ANI,P05 StateFlux Round05 V4 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=M | state=ANI | source=existing_xTB_R05A | smiles=N/C(=N/O)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](N)C2CCCCC2)cc1,True,8,0,-1278.70596223
R05E009,M,CAT,success,archive3595(1).tar,3668,R05E009_M_CAT,P05 StateFlux Round05 V4 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=M | state=CAT | source=existing_xTB_R05A | smiles=N/C(=N/O)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](N)C2CCCCC2)cc1,True,8,0,-1278.44766369
R05E009,M,N,success,archive3595(1).tar,3611,9m,P05 StateFlux Round05 V4 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=M | state=N | source=existing_xTB_R05A | smiles=N/C(=N/O)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](N)C2CCCCC2)cc1,True,8,0,-1278.66559747
R05E009,P,ANI,success,archive3783(1).tar,3783,R05E009_P_ANI_RESCUE3,P05 StateFlux Round05 V4 RESCUE3 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,True,5,3,-1585.1283361
R05E009,P,CAT,success,archive3595(1).tar,3669,R05E009_P_CAT,P05 StateFlux Round05 V4 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,True,8,0,-1584.86800798
R05E009,P,N,success,archive3595(1).tar,3612,9p,P05 StateFlux Round05 V4 | edge=R05E009 | LTKBID=LT02033 | compound=Ximelagatran | class=dealkylation | role=P | state=N | source=existing_xTB | smiles=CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1,True,8,0,-1585.08562752
R05E010,M,ANI,success,archive3783(1).tar,3784,R05E010_M_ANI_RESCUE3,P05 StateFlux Round05 V4 RESCUE3 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=M | state=ANI | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(NCCNCC=O)cn3)nc2n1C1CCCC1,True,5,3,-1482.64092179
R05E010,M,CAT,success,archive3595(1).tar,3670,R05E010_M_CAT,P05 StateFlux Round05 V4 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=M | state=CAT | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(NCCNCC=O)cn3)nc2n1C1CCCC1,True,8,0,-1482.40793957
R05E010,M,N,success,archive3595(1).tar,3613,10m,P05 StateFlux Round05 V4 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=M | state=N | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(NCCNCC=O)cn3)nc2n1C1CCCC1,True,8,0,-1482.58734943
R05E010,P,ANI,success,archive3595(1).tar,3719,R05E010_P_ANI,P05 StateFlux Round05 V4 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=P | state=ANI | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,True,8,0,-1407.44966686
R05E010,P,CAT,success,archive3595(1).tar,3671,R05E010_P_CAT,P05 StateFlux Round05 V4 | edge=R05E010 | LTKBID=LT03606 | compound=Ribociclib succinate | class=dealkylation | role=P | state=CAT | source=existing_xTB | smiles=CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,True,8,0,-1407.20953084
