n,positives,negatives,auroc,auprc,balanced_accuracy,accuracy,precision,sensitivity,specificity,f1,mcc,brier,tp,tn,fp,fn,model,repeat,fold
74,31,43,0.7846961740435109,0.6870463641704575,0.6920480120030008,0.6891891891891891,0.6111111111111112,0.7096774193548387,0.6744186046511628,0.6567164179104478,0.3791506785631245,0.19610673383956356,22,29,14,9,ECFP_FluxCore,0,3
74,31,43,0.7509377344336083,0.6709209577824504,0.6875468867216804,0.6891891891891891,0.6176470588235294,0.6774193548387096,0.6976744186046512,0.6461538461538462,0.37135175048661195,0.20821752822444575,21,30,13,10,ECFP_StateFluxCore,0,3
76,31,45,0.8845878136200717,0.8776387334218682,0.7921146953405018,0.7894736842105263,0.7142857142857143,0.8064516129032258,0.7777777777777778,0.7575757575757576,0.5760292732380796,0.15252743567826982,25,35,10,6,ECFP,0,4
76,31,45,0.8810035842293907,0.8543635923324172,0.774910394265233,0.7631578947368421,0.6666666666666666,0.8387096774193549,0.7111111111111111,0.7428571428571429,0.5405988214891639,0.15696406761186638,26,32,13,5,ECFP_StateCore,0,4
76,31,45,0.8007168458781362,0.8006331026715666,0.7154121863799283,0.7105263157894737,0.6216216216216216,0.7419354838709677,0.6888888888888889,0.6764705882352942,0.4235982942829042,0.18529779243666372,23,31,14,8,ECFP_FluxCore,0,4
76,31,45,0.8114695340501792,0.8081756756025791,0.7376344086021505,0.7368421052631579,0.6571428571428571,0.7419354838709677,0.7333333333333333,0.696969696969697,0.4685980468182169,0.1809169334954633,23,33,12,8,ECFP_StateFluxCore,0,4
76,32,44,0.7947443181818181,0.8143288647199671,0.71875,0.7236842105263158,0.6666666666666666,0.6875,0.75,0.676923076923077,0.43580096445528327,0.19110938426515556,22,33,11,10,ECFP,1,0
76,32,44,0.7883522727272727,0.8157072378359018,0.6889204545454546,0.6842105263157895,0.6052631578947368,0.71875,0.6590909090909091,0.6571428571428571,0.3731012536223183,0.19580182848848027,23,29,15,9,ECFP_StateCore,1,0
76,32,44,0.7784090909090909,0.8020448425606764,0.6704545454545454,0.6578947368421053,0.5714285714285714,0.75,0.5909090909090909,0.6486486486486487,0.33851335433314783,0.20849668353792739,24,26,18,8,ECFP_FluxCore,1,0
76,32,44,0.768465909090909,0.8029184337971882,0.6775568181818181,0.6710526315789473,0.5897435897435898,0.71875,0.6363636363636364,0.647887323943662,0.35078055540037856,0.2043111314658011,23,28,16,9,ECFP_StateFluxCore,1,0
