row_id,compound,query_type,ok,query,status,error,source,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,Title
LT00728,Protamine sulfate,name,False,Protamine,,,,,,,,,,
LT00728,Protamine sulfate,ChEMBL_synonym,False,CHEMBL1201651,,,,,,,,,,
LT03197,Prucalopride succinate,name,True,Prucalopride succinate,,,PubChem_name_property,9870009.0,C22H32ClN3O7,486.0,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl.C(CC(=O)O)C(=O)O,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl.C(CC(=O)O)C(=O)O,QZRSNVSQLGRAID-UHFFFAOYSA-N,Prucalopride Succinate
LT03913,Radium ra-223 dichloride,name,False,Radium ra-223 dichloride,,,,,,,,,,
LT01363,Rasburicase,chembl_id,False,CHEMBL1201594,200.0,,,,,,,,,
LT01363,Rasburicase,name,False,Rasburicase,,,,,,,,,,
LT01363,Rasburicase,ChEMBL_synonym,False,CHEMBL1201594,,,,,,,,,,
LT00646,Regadenoson,CAS,True,313348-27-5,,,PubChem_name_property,219024.0,C15H18N8O5,390.35,CNC(=O)C1=CN(N=C1)C2=NC(=C3C(=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)N,CNC(=O)C1=CN(N=C1)C2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N,LZPZPHGJDAGEJZ-AKAIJSEGSA-N,Regadenoson
LT02433,Regorafenib,name,True,Regorafenib,,,PubChem_name_property,11167602.0,C21H15ClF4N4O3,482.8,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,FNHKPVJBJVTLMP-UHFFFAOYSA-N,Regorafenib
LT03743,Relugolix,name,True,Relugolix,,,PubChem_name_property,10348973.0,C29H27F2N7O5S,623.6,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,AOMXMOCNKJTRQP-UHFFFAOYSA-N,Relugolix
LT03819,Remdesivir,name,True,Remdesivir,,,PubChem_name_property,121304016.0,C27H35N6O8P,602.6,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@@H]1[C@H]([C@H]([C@](O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,RWWYLEGWBNMMLJ-YSOARWBDSA-N,Remdesivir
LT03744,Remimazolam besylate,name,True,Remimazolam besylate,,,PubChem_name_property,23658607.0,C27H25BrN4O5S,597.5,CC1=CN=C2N1C3=C(C=C(C=C3)Br)C(=N[C@H]2CCC(=O)OC)C4=CC=CC=N4.C1=CC=C(C=C1)S(=O)(=O)O,CC1=CN=C2N1C3=C(C=C(C=C3)Br)C(=NC2CCC(=O)OC)C4=CC=CC=N4.C1=CC=C(C=C1)S(=O)(=O)O,QMTKNJZIWGTNTE-LMOVPXPDSA-N,Remimazolam Besylate
LT01351,Reteplase,chembl_id,False,CHEMBL2107885,200.0,,,,,,,,,
LT01351,Reteplase,name,False,Reteplase,,,,,,,,,,
LT01351,Reteplase,ChEMBL_synonym,False,CHEMBL2107885,,,,,,,,,,
LT03606,Ribociclib succinate,name,True,Ribociclib succinate,,,PubChem_name_property,57334219.0,C27H36N8O5,552.6,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5.C(CC(=O)O)C(=O)O,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5.C(CC(=O)O)C(=O)O,NHANOMFABJQAAH-UHFFFAOYSA-N,Ribociclib Succinate
LT03745,Rifamycin sodium,name,True,Rifamycin sodium,,,PubChem_name_property,23702994.0,C37H46NNaO12,719.7,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])/C.[Na+],CC1C=CC=C(C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)[O-])C.[Na+],YVOFSHPIJOYKSH-NLYBMVFSSA-M,Rifamycin Sodium
LT01415,Rilonacept,chembl_id,False,CHEMBL1201830,200.0,,,,,,,,,
LT01415,Rilonacept,name,False,Rilonacept,,,,,,,,,,
LT01415,Rilonacept,ChEMBL_synonym,False,CHEMBL1201830,,,,,,,,,,
LT03746,Rimegepant sulfate,name,True,Rimegepant sulfate,,,PubChem_name_property,71586738.0,C56H64F4N12O13S,1221.2,C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6.C1C[C@H](C2=C(C=CC=N2)[C@H]([C@@H]1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6.O.O.O.OS(=O)(=O)O,C1CC(C2=C(C=CC=N2)C(C1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6.C1CC(C2=C(C=CC=N2)C(C1C3=C(C(=CC=C3)F)F)N)OC(=O)N4CCC(CC4)N5C6=C(NC5=O)N=CC=C6.O.O.O.OS(=O)(=O)O,SOGUOEZRYKUOHR-CQZKMDJHSA-N,Rimegepant Sulfate
LT02894,Riociguat,name,True,Riociguat,,,PubChem_name_property,11304743.0,C20H19FN8O2,422.4,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,WXXSNCNJFUAIDG-UHFFFAOYSA-N,Riociguat
LT03747,Ripretinib,name,True,Ripretinib,,,PubChem_name_property,71584930.0,C24H21BrFN5O2,510.4,CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,CEFJVGZHQAGLHS-UHFFFAOYSA-N,Ripretinib
LT03748,Risdiplam,name,True,Risdiplam,,,PubChem_name_property,118513932.0,C22H23N7O,401.5,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6,ASKZRYGFUPSJPN-UHFFFAOYSA-N,Risdiplam
LT00619,Roflumilast,name,True,Roflumilast,,,PubChem_name_property,449193.0,C17H14Cl2F2N2O3,403.2,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F,MNDBXUUTURYVHR-UHFFFAOYSA-N,Roflumilast
LT03749,Rolapitant hydrochloride,name,True,Rolapitant hydrochloride,,,PubChem_name_property,16203739.0,C25H29ClF6N2O3,555.0,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)C4=CC=CC=C4.O.Cl,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OCC2(CCC3(CCC(=O)N3)CN2)C4=CC=CC=C4.O.Cl,GZQWMYVDLCUBQX-WVZIYJGPSA-N,Rolapitant Hydrochloride
LT01417,Romiplostim,chembl_id,False,CHEMBL1201832,200.0,,,,,,,,,
LT01417,Romiplostim,name,False,Romiplostim,,,,,,,,,,
LT01417,Romiplostim,ChEMBL_synonym,False,CHEMBL1201832,,,,,,,,,,
LT00928,Rubidium chloride rb-82,name,True,Rubidium chloride rb-82,,,PubChem_name_property,71357.0,ClRb,117.37,[Cl-].[82Rb+],[Cl-].[Rb+],FGDZQCVHDSGLHJ-RYDPDVNUSA-M,Rubidium Chloride Rb-82
LT03750,Rucaparib camsylate,name,True,Rucaparib camsylate,,,PubChem_name_property,121490161.0,C29H34FN3O5S,555.7,CC1([C@@H]2CC[C@]1(C(=O)C2)CS(=O)(=O)O)C.CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,CC1(C2CCC1(C(=O)C2)CS(=O)(=O)O)C.CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,INBJJAFXHQQSRW-STOWLHSFSA-N,Rucaparib Camsylate
LT02441,Ruxolitinib phosphate,name,True,Ruxolitinib phosphate,,,PubChem_name_property,25127112.0,C17H21N6O4P,404.4,C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3.OP(=O)(O)O,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3.OP(=O)(O)O,JFMWPOCYMYGEDM-XFULWGLBSA-N,Jakafi
LT00463,Sacrosidase,chembl_id,False,CHEMBL1201487,200.0,,,,,,,,,
LT00463,Sacrosidase,name,False,Sacrosidase,,,,,,,,,,
LT00463,Sacrosidase,ChEMBL_synonym,False,CHEMBL1201487,,,,,,,,,,
